automaker,2021 q1,2021 q2,2021 q3,2021 q4,2022 q1,2022 q2
Tesla,69300,76230,75509,115248,129743,118700
Ford,6614,6361,5880,8285,6734,15527
General Motors,9025,11263,4515,26,457,7217
Nissan,2925,4804,2345,4165,4371,3251
Volkswagen Group,6805,11675,8357,9081,7932,8961
Hyundai-Kia,2829,4401,5921,5246,15480,14735
Mercedes-Benz,0,0,0,443,2091,0
BMW,340,511,426,199,1171,1500
Stellantis,0,0,0,0,0,0
Volvo/Polestar,435,2153,2430,2986,3092,0
Rivian,0,0,0,920,1227,4467
Lucid,0,0,0,125,460,500
